primary_code,domicile_id,asset_universe,,
40115701,USA,Exchange Traded Funds,,
40115702,USA,Exchange Traded Funds,,
40115907,USA,Exchange Traded Funds,,
40115924,USA,Exchange Traded Funds,,
40115927,USA,Exchange Traded Funds,,
40115982,USA,Exchange Traded Funds,,
40115983,USA,Exchange Traded Funds,,
40115984,USA,Exchange Traded Funds,,
40115985,USA,Exchange Traded Funds,,
40116104,USA,Exchange Traded Funds,,
40116161,USA,Exchange Traded Funds,,
40116198,USA,Exchange Traded Funds,,
40043881,USA,Exchange Traded Funds,,
40116418,USA,Exchange Traded Funds,,
40116423,USA,Exchange Traded Funds,,
40116485,USA,Exchange Traded Funds,,
40116549,USA,Exchange Traded Funds,,
40116626,USA,Exchange Traded Funds,,
40116627,USA,Exchange Traded Funds,,
40116777,USA,Exchange Traded Funds,,
40116852,USA,Exchange Traded Funds,,
40116922,USA,Exchange Traded Funds,,
40116938,USA,Exchange Traded Funds,,
40116942,USA,Exchange Traded Funds,,
40116943,USA,Exchange Traded Funds,,
40116991,USA,Exchange Traded Funds,,
40116992,USA,Exchange Traded Funds,,
40116995,USA,Exchange Traded Funds,,
40117020,USA,Exchange Traded Funds,,
40117021,USA,Exchange Traded Funds,,
40117023,USA,Exchange Traded Funds,,
40117042,USA,Exchange Traded Funds,,
40117044,USA,Exchange Traded Funds,,
40117065,USA,Exchange Traded Funds,,
40117068,USA,Exchange Traded Funds,,
40117071,USA,Exchange Traded Funds,,
40117230,USA,Mutual Funds,,
40117325,USA,Exchange Traded Funds,,
40117326,USA,Exchange Traded Funds,,
40117327,USA,Exchange Traded Funds,,
40117371,USA,Exchange Traded Funds,,
40117396,USA,Exchange Traded Funds,,
40117403,USA,Exchange Traded Funds,,
40117461,USA,Exchange Traded Funds,,
40117477,USA,Exchange Traded Funds,,
