primary_code,t_date,fund size
65013168,10/31/2019,30579065
65013169,10/31/2019,33344454
65013170,10/31/2019,404067300
65013171,10/31/2019,34024585
65013200,10/31/2019,8897604
65013220,10/31/2019,40289530
65013226,10/31/2019,255947400
65013227,10/31/2019,38607400
65013236,10/31/2019,64749660
65013237,10/31/2019,58186087
65013238,10/31/2019,8424609
65013239,10/31/2019,34044284
65013256,10/31/2019,13376795
65013259,10/31/2019,15325845
65013260,10/31/2019,18243283
65013261,10/31/2019,34268731
65013262,10/31/2019,10554309
65013269,10/31/2019,26816700
65013271,10/31/2019,139318300
65013272,10/31/2019,43707000
65013280,10/31/2019,119376498
65013281,10/31/2019,15448083
65013282,10/31/2019,120199100
65013323,10/31/2019,9933106
65013325,10/31/2019,26622799
65013327,10/31/2019,19033040
65013329,10/31/2019,6139563
65013346,10/31/2019,17374037
65013347,10/31/2019,11934336
65013349,10/31/2019,5307867
65013351,10/31/2019,43839097
65013353,10/31/2019,28191663
65013354,10/31/2019,31238988
65013378,10/31/2019,7978489
65013379,10/31/2019,8492513
65013380,10/31/2019,23379100
65013382,10/31/2019,30534624
65013385,10/31/2019,10584198
65013404,10/31/2019,36906866
65013406,10/31/2019,81640941
65013407,10/31/2019,86589296
65013424,10/31/2019,14452692
65013427,10/31/2019,9789610
65013432,10/31/2019,9496699
65013433,10/31/2019,10534275
65013449,10/31/2019,19293890
65013453,10/31/2019,188420350
65013457,10/31/2019,12906564
65013458,10/31/2019,908919656
65013465,10/31/2019,80812100
65013466,10/31/2019,31904700
65013480,10/31/2019,9086614
65013482,10/31/2019,16738545
65013483,10/31/2019,30681134
65013486,10/31/2019,9506111
65013487,10/31/2019,1104729
65013488,10/31/2019,1549494
65013494,10/31/2019,101861654
